year,game_id,date,time,matchup,division,phase,bracket,venue,status
2025,cmmbe40zz0006hxphcs5yw4a5,2025-06-27,08:00,"Class 79/80 vs Class 84/85",Gold,Pool,,FD Jungle,final
2025,cmmbe422a000chxphf6xwlcwg,2025-06-27,09:10,"Class 02/04 vs Class 2013",Maroon,Pool,,FD Jungle,final
2025,cmmbe42uz000ihxphska5lmdu,2025-06-27,10:20,"Class 2025 vs Class 2016/17",Maroon,Pool,,FD Jungle,final
2025,cmmbe43nh000ohxphzrk8x1p5,2025-06-28,02:10,"Class 2015 vs Class 2018/19",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe44gr000uhxphksyjzsvs,2025-06-28,03:20,"Class 08/09 vs Class 2014",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe459p0010hxphah3dzu1f,2025-06-28,04:30,"Class FS1 vs Class FS3",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe461i0016hxph7dtm44qt,2025-06-28,05:40,"Class 1991 vs Class 98",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe46tx001chxphlrsnaabx,2025-06-28,06:50,"Class 82/86/AD7/92 vs Class 1988",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe47l2001ihxphgfqt990h,2025-06-28,08:00,"Class 2007 vs Class 05",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe48di001ohxphys6ldalg,2025-06-28,09:10,"Class 12 Pack vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4948001uhxphxlgqudr2,2025-06-28,10:20,"Class 2022 vs Class 2023",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe49vh0020hxph0ka4co6b,2025-06-29,02:10,"Class 2021 vs Class 2024",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4amm0026hxphtd8gy9kg,2025-06-29,03:20,"Class 60s vs Class 60s",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4bll002chxphnwzvntbz,2025-06-29,04:30,"Class 2020 vs Class 2023",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4dtp002ihxphmi7f0o2p,2025-06-29,05:40,"Class 75 vs Class 1989",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4f5h002ohxph3k83lbv8,2025-06-29,06:50,"Class 430-5 vs Class 96/97",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4fy1002uhxphrrvarsj1,2025-06-29,08:00,"Class 02/04 vs Class 2006",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4gq50030hxph1rznpvkk,2025-06-29,09:10,"Class 2022 vs Class 2025",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4hnu0036hxph7icsbjqi,2025-06-29,10:20,"Class 2016/17 vs Class 2018/19",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4if1003chxph49kawvn4,2025-06-30,08:00,"Class 2020 vs Class 2021",Maroon,Pool,,FD Jungle,final
2025,cmmbe4j5l003ihxphufs6p1i5,2025-06-30,09:10,"Class 2024 vs Class 12 Pack",Maroon,Pool,,FD Jungle,final
2025,cmmbe4k4q003ohxphfqp65dl6,2025-06-30,10:20,"Class 98 vs Class 99/01/03",Gold,Pool,,FD Jungle,final
2025,cmmbe4kv5003uhxphcizp5rig,2025-07-01,08:00,"Class 84/85 vs Class 96/97",Gold,Pool,,FD Jungle,final
2025,cmmbe4llu0040hxphnjglph25,2025-07-01,09:10,"Class 2007 vs Class 2006",Maroon,Pool,,FD Jungle,final
2025,cmmbe4mcm0046hxphbzlzfr4f,2025-07-01,10:20,"Class 2023 vs Class 2025",Maroon,Pool,,FD Jungle,final
2025,cmmbe4n9p004chxphjg6mcxf5,2025-07-02,08:00,"Class 79/80 vs Class 1988",Gold,Pool,,FD Jungle,final
2025,cmmbe4o0h004ihxph365w1vau,2025-07-02,09:10,"Class 1991 vs Class 1989",Gold,Pool,,FD Jungle,final
2025,cmmbe4oru004ohxph9vxc2rdx,2025-07-02,10:20,"Class 12 Pack vs Class 2013",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4pim004uhxphl7yi6y0q,2025-07-03,08:00,"Class 75 vs Class 82/86/AD7/92",Gold,Pool,,FD Jungle,final
2025,cmmbe4q8t0050hxphj1c7oxpk,2025-07-03,09:10,"Class 98 vs Class 430-5",Gold,Pool,,FD Jungle,final
2025,cmmbe4qze0056hxphfp0zc3cr,2025-07-03,10:20,"Class 2014 vs Class 2018/19",Maroon,Pool,,FD Jungle,final
2025,cmmbe4rpi005chxphwm49jk8t,2025-07-04,08:00,"Class 96/97 vs Class 99/01/03",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4sgg005ihxphon9udsfg,2025-07-04,09:10,"Class 02/04 vs Class 05",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4t7s005ohxph8i76rizv,2025-07-04,10:20,"Class 2013 vs Class 2016/17",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4tyx005uhxphiq47xvek,2025-07-05,02:10,"Class 60s vs Class 60s",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4us50060hxphvvan2w4r,2025-07-05,03:20,"Class 1988 vs Class 1989",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4vn40066hxphny8vskcq,2025-07-05,04:30,"Class FS1 vs Class FS2",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe4wgh006chxphk6tzzzhb,2025-07-05,05:40,"Class 2014 vs Class 2015",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4x8l006ihxpha2o273io,2025-07-05,06:50,"Class 79/80 vs Class 82/86/AD7/92",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe4xzl006ohxpht9rhpdrc,2025-07-05,08:00,"Class 2023 vs Class 2024",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4yq9006uhxph86y7zoqu,2025-07-05,09:10,"Class 2006 vs Class 08/09",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe4zo50070hxphknsrcguo,2025-07-05,10:20,"Class 2021 vs Class 2022",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe50fl0076hxph033qp24g,2025-07-06,03:20,"Class 2020 vs Class 2024",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe516h007chxphugls3ts8,2025-07-06,04:30,"Class 75 vs Class 84/85",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe51xp007ihxphafjrd3px,2025-07-06,05:40,"Class 2015 vs Class 2016/17",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe52sd007ohxph277qiz4b,2025-07-06,06:50,"Class 05 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe53ly007uhxphsbyinqd1,2025-07-06,08:00,"Class 02/04 vs Class 2007",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe54d60080hxphe9r2cvv8,2025-07-06,09:10,"Class 12 Pack vs Class 2014",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe553q0086hxphux1l06o9,2025-07-06,10:20,"Class 2021 vs Class 2018/19",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe55uf008chxphnsbl577b,2025-07-07,08:00,"Class 430-5 vs Class 1991",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe56la008ihxphif8zmr94,2025-07-07,09:10,"Class FS2 vs Class FS3",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe57du008ohxph62njs3di,2025-07-07,10:20,"Class 2020 vs Class 2022",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5866008uhxphb9chlhea,2025-07-08,08:00,"Class 96/97 vs Class 98",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe58wv0090hxphox7c8t39,2025-07-08,09:10,"Class 08/09 vs Class 2015",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe59o60096hxphv7a2ljim,2025-07-08,10:20,"Class 2007 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5ag2009chxphtxib18o7,2025-07-09,08:00,"Class 60 FS vs Class 60S FS",Special,Pool,,FD Jungle,scheduled
2025,cmmbe5bde009ihxphdd4h0ty9,2025-07-09,09:10,"Class 75 vs Class 79/80",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5c4n009ohxphwgtsaqh1,2025-07-09,10:20,"Class 430-5 vs Class 99/01/03",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5cxe009uhxph0v4ov8yd,2025-07-10,08:00,"Class 84/85 vs Class 1988",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5dqg00a0hxphdeiaj40x,2025-07-10,09:10,"Class 82/86/AD7/92 vs Class 1989",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5ehq00a6hxphr0a09vw2,2025-07-10,10:20,"Class 2013 vs Class 2025",Maroon,Pool,,FD Jungle,final
2025,cmmbe5fcy00achxpho1cx2dgo,2025-07-11,08:00,"Class 1991 vs Class 99/01/03",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5g4q00aihxphrk6081jj,2025-07-11,09:10,"Class 2006 vs Class 05",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5gx200aohxphre8dl87l,2025-07-11,10:20,"Class 08/09 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5ho600auhxphuyp2fbw3,2025-07-12,01:00,"Class 2014 vs Class 2024",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5igu00b0hxph63m8o73u,2025-07-12,02:10,"Class 2016/17 vs Class 2020",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5j9100b6hxpha4akarmp,2025-07-12,03:20,"Class 2007 vs Class 08/09",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5k1e00bchxphqp2yhx2u,2025-07-12,04:30,"Class 75 vs Class 1988",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5ksd00bihxph3o4g3cs7,2025-07-12,05:40,"Class 2025 vs Class 2022",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5lli00bohxphyihoqbyt,2025-07-12,06:50,"Class 18/19 vs Class 2023",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5mcm00buhxphe9p0i2zn,2025-07-12,08:00,"Class 1989 vs Class 84/85",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5nal00c0hxphh0uv7ajb,2025-07-12,09:10,"Class 12 Pack vs Class 2021",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5o2p00c6hxphfgpk4gj6,2025-07-12,10:20,"Class 2013 vs Class 2015",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5oua00cchxphpwy0bo8u,2025-07-13,02:10,"Class 91 vs Class 430-5",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5plt00cihxphcwtezps0,2025-07-13,03:20,"Class 2006 vs Class 2010",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5qem00cohxphhn01x0mx,2025-07-13,04:30,"Class 02/04 vs Class WMP1",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5r5t00cuhxphmugv5pmu,2025-07-13,05:40,"Class 96/97/2000 vs Class 05",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5rwh00d0hxphwfa2s9n7,2025-07-13,06:50,"Class WMP5 vs Class WMP4",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5so500d6hxphtgobrjbf,2025-07-13,08:00,"Class WMP2 vs Class WMP3",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5tff00dchxphjutbh1sz,2025-07-14,08:00,"Class 79/80 vs Class WPP1",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5u7000dihxphkpelkw5g,2025-07-14,09:10,"Class WMP7 vs Class WMP8",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5uy200dohxphtwirad68,2025-07-14,10:20,"Class WMP9 vs Class WMP6",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5vq200duhxph9zsc777z,2025-07-15,08:00,"Class 82/86/AD7/92 vs Class WPP2",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5wkl00e0hxphb70rgf93,2025-07-15,09:10,"Class 99/01/03 vs Class WGP1",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5xbp00e6hxphs3ck1o3n,2025-07-15,10:20,"Class 98 vs Class WGP2",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5y4u00echxphishg9hdh,2025-07-16,08:30,"Class WMP11 vs Class WMP12",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5z4100eihxphexerlhr6,2025-07-16,09:45,"Class WMP10 vs Class WMP13",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5zv800eohxphlc8y6gjo,2025-07-17,08:00,"Class TBD vs Class TBD",Special,Playoffs,TBD,FD Jungle,scheduled
2025,cmmbe60mx00euhxph0l39ifva,2025-07-17,09:10,"Class WPP3 vs Class WPP4",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe61f900f0hxphw9sufmxy,2025-07-17,10:20,"Class WGP3 vs Class WGP4",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe627h00f6hxphazm4glpk,2025-07-18,08:00,"Class FS vs Class FS",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe630v00fchxphf7a5kxzp,2025-07-18,09:10,"Class 95 vs Class 90",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe63t400fihxph9u6yn00u,2025-07-18,10:20,"Class WMP14 vs Class WMP15",Maroon,Playoffs,MP,FD Jungle,scheduled
